Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1.0,male,0.32500000000000007,0.125,0.0,0.014151057562208049,S
0.0,female,0.7250000000000001,0.125,0.0,0.13913573538264068,C
1.0,female,0.42500000000000004,0.0,0.0,0.015468569817999833,S
0.0,female,0.65,0.125,0.0,0.10364429745562033,S
1.0,male,0.65,0.0,0.0,0.015712553569072387,S
1.0,male,0.5160523174157303,0.0,0.0,0.01650950209357577,Q
1.0,female,0.45000000000000007,0.0,0.3333333333333333,0.021730754366528396,S
0.5,female,0.12500000000000003,0.125,0.0,0.058694292654020104,C
1.0,male,0.275,0.0,0.0,0.015712553569072387,S
1.0,male,0.7500000000000001,0.125,0.8333333333333333,0.06104473451835265,S
1.0,female,0.12500000000000003,0.0,0.0,0.015330377421392339,S
0.5,male,0.5160523174157303,0.0,0.0,0.025374310111545468,S
1.0,female,0.55,0.125,0.0,0.03513366015444757,S
1.0,female,0.5160523174157303,0.0,0.0,0.014102260811993537,C
0.5,male,0.65,0.0,0.0,0.050748620223090936,S
0.5,male,0.6250000000000001,0.0,0.0,0.025374310111545468,S
1.0,female,0.15,0.0,0.0,0.015671954672893913,Q
0.0,male,0.4750000000000001,0.0,0.0,0.06929138530460494,S
1.0,female,0.7250000000000001,0.125,0.8333333333333333,0.06126431989431795,S
1.0,male,0.5160523174157303,0.0,0.0,0.014102260811993537,C
0.0,male,0.25,0.375,0.3333333333333333,0.5133418122566507,S
1.0,female,0.5160523174157303,0.0,0.0,0.01537917417160685,Q
1.0,male,0.5160523174157303,0.0,0.0,0.015411575213749286,S
0.0,male,0.775,0.0,0.0,0.05410739813385612,C
0.0,female,0.5160523174157303,0.125,0.0,0.2859895551532101,C
1.0,female,0.5160523174157303,0.0,0.0,0.015126992566498259,Q
0.0,male,0.4750000000000001,0.125,0.0,0.16038672010106003,C
0.0,male,0.8250000000000001,0.125,0.0,0.10149724044618187,S
1.0,male,0.5160523174157303,0.0,0.0,0.014110458666029575,C
1.0,male,0.30000000000000004,0.0,0.0,0.015712553569072387,S
1.0,female,0.225,0.25,0.0,0.03513366015444757,S
1.0,female,0.12500000000000003,0.125,0.0,0.021942337075458514,C
1.0,female,0.775,0.125,0.0,0.018493968331299484,S
0.5,female,0.45000000000000007,0.125,0.0,0.04098927018018883,S
1.0,male,0.5160523174157303,0.0,0.0,0.015411575213749286,C
1.0,female,0.25,0.0,0.0,0.01537917417160685,Q
1.0,male,0.5160523174157303,0.0,0.0,0.015712553569072387,S
1.0,male,0.5160523174157303,0.125,0.0,0.030253985132996517,Q
1.0,female,0.5160523174157303,0.0,0.0,0.015126992566498259,Q
1.0,male,0.5160523174157303,0.25,0.0,0.04231498029001666,C
1.0,female,0.225,0.125,0.0,0.034743286152731485,S
1.0,male,0.30000000000000004,0.0,0.0,0.01522458606692728,S
0.0,female,1.0,0.125,0.0,0.1497654242623688,C
0.5,female,0.5000000000000001,0.125,0.0,0.050748620223090936,S
0.0,male,0.5160523174157303,0.0,0.0,0.06929138530460494,S
0.5,female,0.30000000000000004,0.0,0.0,0.020494635090094415,S
1.0,male,0.48750000000000004,0.0,0.0,0.014110458666029575,C
1.0,male,0.05000000000000002,0.625,0.3333333333333333,0.09154270340242172,S
1.0,male,0.32500000000000007,0.0,0.0,0.014110458666029575,C
0.0,male,0.9,0.125,0.0,0.16293234896625058,S
0.0,male,0.5160523174157303,0.0,0.0,0.05410739813385612,C
